dataset,missingness_type,missing_rate,imputation_method,rmse
treasury,missing_at_random,8,k_nearest_neighbors_imputation,18.56836150507787
treasury,missing_at_random,10,constant_imputation,128.5507006457412
treasury,missing_at_random,10,mean_imputation,149.14054441508122
treasury,missing_at_random,10,median_imputation,140.30052642292108
treasury,missing_at_random,10,k_nearest_neighbors_imputation,30.280956121253897
treasury,missing_at_random,10,mice_imputation,29.12395853611719
treasury,missing_at_random,10,random_forest_imputation,32.26867757257045
treasury,missing_at_random,15,k_nearest_neighbors_imputation,67.26626673165242
treasury,missing_at_random,20,k_nearest_neighbors_imputation,110.73043252705637
treasury,missing_at_random,25,constant_imputation,282.1891676801265
treasury,missing_at_random,25,mean_imputation,243.36103643271437
treasury,missing_at_random,25,median_imputation,224.0216036633689
treasury,missing_at_random,25,k_nearest_neighbors_imputation,148.7872101369626
treasury,missing_at_random,25,mice_imputation,146.84771095731537
treasury,missing_at_random,25,random_forest_imputation,145.3879368232796
